Wavelength, QE
401.4538786923888, 0.34414773924882797
406.1689438015703, 0.36018556482397857
409.40337582905335, 0.37776693720839816
413.99978391695356, 0.39464230171073095
419.88032095927156, 0.40873001555209953
424.174671784062, 0.42759525660964237
428.28088087125354, 0.4435414352366141
433.33415445781867, 0.46399625335783967
440.28800871218266, 0.4832295516821178
447.1427914324717, 0.49218937458342593
454.212386649943, 0.49524176445638346
461.1260360716592, 0.4945301321928461
468.1372605747729, 0.5064668457514492
473.8252318994862, 0.5246563534314312
480.14696436860334, 0.5420669249426053
487.37140623398074, 0.55062768458861
493.92820321349757, 0.549317801172389
501.43912237325253, 0.551149013669477
504.5636151428647, 0.560342146189736
508.09989171076256, 0.5682712329358908
513.048861999742, 0.5867553843253688
520.0096923335552, 0.5949176445638343
526.9765164366102, 0.5935677930156935
533.315845127922, 0.5830531599038598
540.2390626944625, 0.5671568818040436
547.2676302594764, 0.5515701561269213
551.2545626281747, 0.5414513441457454
557.4090814212144, 0.5370871624487488
564.373846254173, 0.5390053725434752
571.2290138440845, 0.5473544073539214
578.2937958374682, 0.5580453838540931
584.631369672524, 0.5503157076205288
586.7196140828189, 0.5384146856254166
592.8811011388926, 0.5229918704934258
599.8584760167419, 0.5048979393468118
606.8267289249541, 0.5012805740138555
613.7925233929609, 0.5015647532871483
620.7595265629807, 0.4999307224657147
627.8831088715565, 0.501055598755832
634.694952648242, 0.494409525156026
641.510659821342, 0.4816322414463453
648.7896479760512, 0.4680511168458291
655.6170600839157, 0.4560250247419766
662.3259233017882, 0.44530909797822704
669.5647749949346, 0.4310014609548046
673.2819266376009, 0.41831037547211736
678.8904890140636, 0.40459331259720066
683.8413152989738, 0.38663199844479007
689.5522465287067, 0.3683841368584759
692.9506612477211, 0.3590285492112864
699.3786536676523, 0.3513760073519016
703.6058576635004, 0.34280326594090205
709.5204693585688, 0.33631450586738304
716.4917701357462, 0.3278601724869221
723.4611907097922, 0.3223897214760357
730.428417713518, 0.320400466562986
737.6092977202994, 0.31434389580093314
744.3686018638466, 0.30732821999151705
751.1834535658393, 0.29590856892912687
758.4228479402533, 0.2807396967340591
764.6600873217233, 0.26474079834110936
770.8985441098506, 0.24680987558320377
777.9787613025522, 0.23300519076568843
783.5426937961138, 0.22471099015033696
790.0193929634345, 0.21952274494556762
796.9875190325467, 0.21610667326452704
