Wavelength, QE
362.8979353590193, 0.34155540200870504
368.8084784767931, 0.35123631052345194
374.7190215945668, 0.36091721903819884
381.8609278618768, 0.3754409020992875
388.0177436095578, 0.3812459336276981
393.4357414675171, 0.3880208459447876
399.7403207931425, 0.3926630149363416
405.25682770306463, 0.40040668104461086
411.8240978339244, 0.40866567228370687
418.3092770881484, 0.41608507248418225
425.2049107255511, 0.4277024278777607
432.1005443629538, 0.4398042264608996
438.4215418639063, 0.4525527227264418
445.15299374803755, 0.4712754658801419
451.06353686581133, 0.4916141245652189
458.12335225648553, 0.5145349334019729
465.67571290697424, 0.5274432533814389
472.4892556677412, 0.5351851737484845
478.35054425953354, 0.5429283757989602
484.0640692733815, 0.5522219949379409
491.74777532648744, 0.5653885078345844
498.6434089638901, 0.5766183086765144
505.4076971986757, 0.5881066560034648
511.44958571906665, 0.595978799826598
517.8034195706734, 0.6048840025923136
522.482599538911, 0.6126287956980816
529.9692874880911, 0.6118436099112661
539.8201926843808, 0.6191938875984815
545.6322267501916, 0.6184109558066636
551.5427698679654, 0.6184030005302015
557.4533129857391, 0.6183950452537392
563.8564013633274, 0.6164486542793302
570.3579987928786, 0.6110141397521447
576.4655600145782, 0.6071303737833167
583.3119391259993, 0.5955914110098759
589.4687548736804, 0.584117968777297
596.1181158811759, 0.5703831287203975
601.7823863690423, 0.5640777434495021
608.1854747466307, 0.5601935797168511
614.3422904943117, 0.5572786338331737
621.4841967616217, 0.5504868165536021
627.3947398793954, 0.5427277702441726
633.7978282569836, 0.534968060995038
639.0516443616714, 0.5285017471107101
646.8502776420673, 0.5189638678373557
652.5145481299339, 0.5126584825664602
658.8191274555593, 0.5047051286294425
663.3505438458525, 0.4987565264588799
671.0342498989584, 0.48686117834892917
678.1269016402869, 0.4748374409160753
682.5598089786172, 0.4709559289422451
689.6196243692914, 0.4593197902570199
694.3808952141648, 0.4554378363233862
700.2914383319385, 0.4457410172557149
706.0377996964407, 0.4405658889371763
711.9483428142146, 0.4302231456167578
718.269340315167, 0.42440131961581584
724.6231741667739, 0.41354124024746475
730.7307353884735, 0.40423171055555984
737.823387129802, 0.39375819132929935
743.4712394423414, 0.38561194403606436
750.5310548330156, 0.3739758053508391
758.5759607433188, 0.36298426503895076
763.5014133414636, 0.35651839311442635
770.0686834723233, 0.3481125386326427
776.1434083433685, 0.3416451198488061
781.5614062013278, 0.3332408122263345
787.9644945789161, 0.3274188757354417
794.7616191643559, 0.32237151799608155
800.6064895808211, 0.313837450975316
806.4349418219591, 0.3060785151558375
812.3454849397328, 0.30025724160464984
818.403791635451, 0.2944357691715507
822.9352080257441, 0.28667857909329564
830.8159321827759, 0.2769791082668037
835.2488395211062, 0.2735820394825339
841.6519278986945, 0.26275419003284983
848.0550162762827, 0.24982708676173693
854.786468160414, 0.2388373142890624
861.3537382912737, 0.22655591429079514
867.5105540389546, 0.21734320694283182
874.1599150464501, 0.2052231775178005
880.070458164224, 0.1969796880188105
886.1780193859236, 0.1842790559999824
893.2049984259435, 0.17160948270634202
899.969286660729, 0.16061966603768718
905.6828116745769, 0.15286088490413974
913.0709905717941, 0.1407398610695506
919.6710970533082, 0.12920122976596238
925.7129855736991, 0.12182956122425992
932.5265283344661, 0.11019375400888731
938.6833440821471, 0.10194993304004485
944.2983600440323, 0.09777616409718592
950.5044303176946, 0.09079182912723005
955.922428175654, 0.08400233213662667
962.5717891831495, 0.0781800641758813
968.9748775607377, 0.06945146854762574
974.3107845420612, 0.062339119920599595
980.549691166378, 0.05296482101949851
986.8542704920033, 0.050049676253909436
992.6991409084685, 0.04487441534742975
998.6096840262423, 0.04228276305997858
1003.2067731178441, 0.0345254845897629
1010.1024067552468, 0.03451620343389039
1016.5054951328351, 0.026756494184755786
1021.9234929907943, 0.023842542710636017
1027.3414908487537, 0.01899081847827455
1034.7296697459708, 0.01994976076181776
1040.6402128637446, 0.016389222095245626
1046.5507559815183, 0.013151645555047109
1051.9687538394778, 0.007331034943564574
1057.8792969572514, 0.007323079667102439
