Wavelength,Throughput
350,0.8124951052082098
355,0.8155653106742623
360,0.8186412642940026
365,0.8217229660674306
370,0.8248104159945463
375,0.8279036140753496
380,0.8310025603098409
385,0.8341072546980196
390,0.8372176972398861
395,0.8403338879354404
400,0.8434558267846822
405,0.8465835137876119
410,0.8497169489442292
415,0.852856132254534
420,0.8560010637185269
425,0.8591517433362073
430,0.8623081711075753
435,0.865470347032631
440,0.8686382711113746
445,0.8718119433438057
450,0.8749913637299247
455,0.8781765322697312
460,0.8813674489632255
465,0.8849213344727276
470,0.8888155870336663
475,0.8931220896215437
480,0.8968154434647323
485,0.8999259082333424
490,0.9016617172161431
495,0.9035182305553224
500,0.9053342106241498
505,0.9068954707386185
510,0.9080994913822674
515,0.9091191700719861
520,0.9099168425415145
525,0.9101693750458384
530,0.9089039916110534
535,0.9073015568994719
540,0.9066534831853508
545,0.9064688425709299
550,0.9069301280910955
555,0.9088930041201159
560,0.9108680281723458
565,0.9101281245669294
570,0.9081826044107149
575,0.9062978807090564
580,0.9053464013196914
585,0.9045068124134814
590,0.9031706667187606
595,0.8988983920776933
600,0.8968765097199308
605,0.8960893225649859
610,0.8975469667309403
615,0.8959251456764985
620,0.8937548916416391
625,0.8913276299960595
630,0.8889053234188722
635,0.8867435948182929
640,0.8858469485354635
645,0.8851100581747516
650,0.8843140587055514
655,0.8828063121941883
660,0.8803419700416972
665,0.8773630346834751
670,0.8754786341496553
675,0.8740925374667625
680,0.8730144902685023
685,0.8711221074498058
690,0.8685481954049433
695,0.8652927342648367
700,0.8614137737681861
705,0.8579603442024085
710,0.8549729664043102
715,0.8517187873826523
720,0.8490825646456724
725,0.8468303254624169
730,0.842475284483584
735,0.8371223900783182
740,0.8312288102583811
745,0.8263090246764643
750,0.8214821852189332
