Wavelength, Transmission
650.628393548598, 0.006075698124311302
651.5674858053184, 0.016704204339376583
652.3314539959309, 0.0508092737682424
652.7458440815064, 0.09019177911154697
653.1381758661762, 0.14294555721631474
653.4427409507869, 0.220167904644461
653.7248978568181, 0.3325239161259269
653.9762701011455, 0.45756882456641734
654.1148765426248, 0.5316404435072971
654.2535104254903, 0.6040052082292077
654.4902015282236, 0.736447094760479
654.5916980684899, 0.7637524936039162
654.7872796879777, 0.8264711537351843
655.0414075048318, 0.8706964539266285
655.4793960391113, 0.9141317471010402
655.9434358038719, 0.9222780552046259
656.4968300231368, 0.9204187211217678
656.9045404179653, 0.9223929764036229
657.3850939723477, 0.9223728527204411
657.7564125155676, 0.9234952054142649
658.6011041171256, 0.918339273859644
659.0240582019643, 0.8779260395618513
659.221901449028, 0.7999714644797475
659.5513375766257, 0.6888699817020951
659.8599502656945, 0.5143313318322956
660.0584200910755, 0.39740358541706355
660.3332181320523, 0.2881534814921408
660.7172374634985, 0.17861432829969726
660.9254101056681, 0.13749889942057436
661.2209949966589, 0.09396176821309088
661.6978755215042, 0.05067307302161628
662.2225328717183, 0.024706935784360118
662.7651068614151, 0.010353219980677508
663.5691275032232, 0.0002692995182902447
669.4587824951171, -0.08346920375766254
670.595130295881, -0.1142401447684458
