Wavelength, Transmission
398.9090909090909, -0.0003015521064300142
400.88922006954795, 0.05706612809421707
401.4485842026826, 0.49837373232525184
403.1266766020865, 0.8683931063938063
406.18181818181824, 0.9557738359201775
419.90760059612523, 0.9711762658572937
456.8256333830105, 0.9825750154483663
493.74366616989573, 0.9819508469339538
530.661698956781, 0.9744198956780925
542.909090909091, 0.9724301552106432
547.4426229508197, 0.6934929028388646
548.5613512170889, 0.11758318793694644
554.5454545454545, -0.0007760532150775656
